,Nome Unidade Orçamentária,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
17107,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","0,0000","0,0000","917,4000"
17108,COMANDO DO EXERCITO,"-5506,5100","5059,0200","26310,0400"
17109,FUNDO DO EXERCITO,"18299,9800","18299,9800","18299,9800"
17110,COMANDO DO EXERCITO,"0,0000","4001,8000","4501,7900"
17111,FUNDO NACIONAL DE ASSISTENCIA SOCIAL,"836,0000","3179,3100","3492,8100"
17113,FUNDO NACIONAL DE SAUDE,"0,0000","21423,2600","42846,5200"
17114,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"25498,9000","32444,8800","21761,3800"
17118,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"3513,8500","2670,0000","2670,0000"
17119,UNIVERSIDADE FEDERAL DE SANTA CATARINA,"-10222,3100","3611,2500","3306,3000"
17123,"INST.FED.DE EDUC.,CIENC.E TEC.DE SERGIPE","0,0000","-200,0000","5780,0000"
17125,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO","0,0000","3978,2400","3978,2400"
17126,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"16450,0000","345,3200","345,3200"
17129,FUND. INST.BRASIL. DE GEOGRAFIA E ESTATISTICA,"82703,6400","35551,8800","35551,8800"
17130,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"-9141,3300","1313,5500","1313,5500"
17131,UNIVERSIDADE FEDERAL DE RORAIMA,"0,0000","0,0000","2036,8000"
17132,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"0,0000","226016,6200","223980,3100"
17133,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO","0,0000","0,0000","36830,2900"
17134,TELECOMUNICAÇÕES BRASILEIRAS S/A - TELEBRAS,"551306,6800","3843416,2300","4460707,8200"
17137,DEPARTAMENTO DE POLICIA FEDERAL,"0,0000","126696,0000","126696,0000"
17140,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,"0,0000","290930,8300","262826,8200"
17142,UNIVERSIDADE FEDERAL DA BAHIA,"5673,2500","350007,5600","988016,6700"
17146,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"-96400,0000","110482,8700","125524,5200"
17150,COMANDO DO EXERCITO,"6061,0900","7158,0000","7158,0000"
17152,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"63603,4300","17411,3100","4965,0900"
17153,FUNDO DO EXERCITO,"311940,2800","52877,9700","74399,0700"
17155,MINISTERIO DA ECONOMIA,"121732,7500","730,3700","980,3700"
17156,MINISTERIO DA DEFESA,"-0,0200","3794,0000","3794,0000"
17157,SECRET.DA COMISSAO INTERMIN.P/OS REC.DO MAR,"0,0000","16000,0000","16000,0000"
17159,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"109736,9400","16445,0400","27343,4200"
17160,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","9333,3200","9333,3200"
17163,DEPARTAMENTO DE POLICIA FEDERAL,"-574,9300","542,1400","542,1400"
17164,MINISTERIO DAS RELACOES EXTERIORES,"-76,8800","751,9000","751,9000"
17165,COMISSAO NACIONAL DE ENERGIA NUCLEAR - CNEN,"1381646,5100","636816,3300","1001667,7400"
17166,UNIVERSIDADE FEDERAL DO PARA,"0,0000","500,0000","28880,0000"
17167,FUNDACAO NACIONAL DE SAUDE,"-1830,2000","2696,1400","2696,1400"
17168,MINISTERIO DAS RELACOES EXTERIORES,"0,0000","1236,6800","1236,6800"
17170,INDUSTRIA DE MATERIAL BELICO DO BRASIL-IMBEL,"0,0000","23585,5000","23585,5000"
17171,INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE,"8700,0000","8700,0000","8700,0000"
17173,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"69616,6400","24301,7900","24301,7900"
17174,INST. DO PATRIM. HIST. E ARTÍSTICO NACIONAL,"0,0000","91,9700","316,2600"
17175,"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","30262,7900","13513,6300","13513,6300"
17176,"INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA","153554,2900","45948,2300","45948,2300"
17178,FUNDACAO NACIONAL DE SAUDE,"-10564,4900","135712,0400","135712,0400"
17179,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"240000,0000","266981,8000","266981,8000"
17180,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE","3000,0000","-33,5500","38181,6800"
17182,COMANDO DO EXERCITO,"29932,3700","63433,8000","63433,8000"
17184,UNIVERSIDADE FEDERAL DE ITAJUBA - MG,"-146159,6400","394539,7700","1671258,2800"
17185,"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS","-59418,2300","618613,6300","854454,5200"
17189,FUNDO NACIONAL DE SAUDE,"-15749,2700","9670,4000","115493,2600"
17190,COMANDO DO EXERCITO,"0,0000","8129,9600","8129,9600"
17192,INSTITUTO NACIONAL DO SEGURO SOCIAL,"-2534626,5400","970556,4900","1440094,3700"
17193,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"-26011,8300","365,5000","365,5000"
17195,FUNDO NAVAL,"780,0000","780,0000","780,0000"
17196,MINISTERIO DA ECONOMIA,"-3110007,2500","6088500,0000","6092250,0000"
17197,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"-83,0100","1578,8500","1578,8500"
17198,COMANDO DO EXERCITO,"-95,0000","6429,6000","5224,0500"
17200,INSTITUTO NACIONAL DO SEGURO SOCIAL,"0,0000","6339,3000","6339,3000"
17201,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA","116,8000","58,4000","58,4000"
17202,INEP-INST.NAC.DE ESTUDOS E PESQ.EDUCACIONAIS,"-213883,9300","32942,6700","28391,0800"
17203,INSTITUTO NACIONAL DO SEGURO SOCIAL,"19252,1200","352,1200","352,1200"
17204,INST.BRAS.DO MEIO AMB.E REC.NAT.RENOVAVEIS,"54,8300","54,8300","54,8300"
17205,FUNDACAO NACIONAL DO INDIO,"70980,7700","86982,8700","71053,7500"
17206,MINISTERIO DA DEFESA,"-8000,0000","0,0000","769,2600"
17208,MINISTERIO DO MEIO AMBIENTE,"0,0000","962,4600","962,4600"
17209,MINISTERIO DAS RELACOES EXTERIORES,"-46643,2700","-47417,8800","-47417,8800"
17215,MINISTERIO DA DEFESA,"-2691,2000","4358,6000","153935,2500"
17217,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"0,0000","702396,5800","702396,5800"
17218,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"3280,0000","5324,6800","5324,6800"
17220,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,"271423,9400","1352491,3400","2336656,9300"
17221,"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS","395,3100","312,0000","312,0000"
17222,"INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA","-26203,4200","13161,4400","15863,7500"
17225,INSTITUTO NACIONAL DO SEGURO SOCIAL,"-25357,0800","2833,4400","2833,4400"
17227,MINISTERIO DAS RELACOES EXTERIORES,"208380,0200","210181,5800","210181,5800"
17228,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"2216,2300","2216,2300","2216,2300"
17229,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"1542647,5300","24312,4000","118804,3600"
17231,MINISTERIO DA DEFESA,"-0,2000","127300,0000","221766,9200"
17232,COMANDO DA MARINHA,"2630304,3300","4371,0200","4371,0200"
17233,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"31992,9500","10177,5300","2652,6600"
17234,FUNDO AERONAUTICO,"24989,7600","7407,8400","3987,8400"
17236,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,"35000,0000","35000,0000","35000,0000"
17238,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"0,0000","0,0000","7955,0500"
17239,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","16594,5600","5971,3000","7629,6200"
17241,MINISTERIO DA ECONOMIA,"0,0000","1789,1000","1789,1000"
17243,FUNDO NAVAL,"30000,0000","1650,0000","1650,0000"
17245,FUNDO DO EXERCITO,"193,3500","148,1800","266,9600"
17246,COMANDO DO EXERCITO,"0,0000","649,2000","649,2000"
17247,COMPANHIA NACIONAL DE ABASTECIMENTO,"267227,0100","267227,0100","550418,8000"
17248,FUNDACAO UNIVERSIDADE FED.DE MATO GROS.DO SUL,"-141782,0000","802349,4200","1096520,3000"
17249,UNIVERSIDADE FEDERAL DE SANTA CATARINA,"794727,8800","514074,0600","2050498,2700"
17252,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-137813,5100","14508,3400","11599,2400"
17254,MINISTÉRIO DA EDUCAÇÃO,"0,0000","2000,0000","2000,0000"
17258,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,"441493,6400","1013878,7200","802957,3000"
17259,ADVOCACIA-GERAL DA UNIAO - AGU,"-5106,4900","-3697,6500","-3697,6500"
17260,"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS","0,0000","-2014,0900","22335,9100"
17261,FUNDO NACIONAL DE SAUDE,"1080113,9000","135095,7900","135095,7900"
17262,MINISTERIO DA DEFESA,"0,0000","12890,7700","12890,7700"
17264,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"133997,4800","3529,8000","2076,8800"
17265,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"0,0000","925998,7000","925998,7000"
17267,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"137,2700","1687,2700","1387,2700"
17268,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","19,2700","19,2700"
17269,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"0,0000","0,0000","22900,0000"
17271,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO","2,0000","0,2400","0,2400"
17273,RECURSOS SOB SUPERVISAO DO ME,"509996,5100","516362,5800","1355267,9300"
17275,MINISTERIO DA DEFESA,"0,0000","30592,7600","30592,7600"
17276,FUNDO NACIONAL DE SAUDE,"1059088,0800","1070472,8500","1043567,8500"
17278,DEPARTAMENTO DE POLICIA FEDERAL,"-162587,4700","40276,7500","60454,7500"
17279,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"-1673,8700","41420,0300","41420,0300"
17280,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,"10686,2200","14241,1100","23980,0800"
17281,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"440,0000","440,0000","440,0000"
17282,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"20579,0000","12628,0000","15115,6000"
17284,MINISTERIO DE MINAS E ENERGIA,"179790,6900","706602,8700","706602,8700"
17287,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"0,0000","43651,5000","54678,7400"
17288,COMANDO DA AERONAUTICA,"-85932,8300","14204,1000","14204,1000"
17294,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"0,0000","179704,5100","179704,5100"
17295,COMANDO DA MARINHA,"13817,4200","92817,3100","81136,7600"
17296,COMANDO DO EXERCITO,"437789,5600","300045,5800","268614,8000"
17297,COMANDO DO EXERCITO,"0,0000","2557,0000","2557,0000"
17299,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO","-502,1400","150,0000","158097,7200"
17300,FUNDACAO OSWALDO CRUZ,"6244535,2300","5481409,9600","8774038,4900"
17301,COLEGIO PEDRO II,"112000,0000","249400,0000","249400,0000"
17303,MINISTERIO DAS RELACOES EXTERIORES,"-1327,3800","-1327,3800","-1327,3800"
17305,FUNDO NACIONAL DE ASSISTENCIA SOCIAL,"475,0400","542,7200","542,7200"
17306,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,"0,0000","62140,2400","136854,2100"
17307,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"126189,4100","201400,3800","184032,2900"
17310,COMANDO DO EXERCITO,"0,0000","1478,4000","1478,4000"
17311,FUNDO DO EXERCITO,"0,0000","6963,0000","6963,0000"
17312,"INST.FED.DE EDUC.,CIENC.E TEC.DO RN","423936,9600","29374,0900","29374,0900"
17313,FUNDO NAVAL,"818,7000","729,5500","729,5500"
17315,INSTITUTO NACIONAL DO SEGURO SOCIAL,"-3270,4300","1720,4800","1594,9200"
17316,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,"8366,0000","19427,0000","410,7800"
17317,"INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA","0,0000","2432,4300","4864,8600"
17318,FUNDACAO NACIONAL DO INDIO,"0,0000","370,9300","370,9300"
17319,FUNDO DE DESENV.DO ENS.PROFISSIONAL MARITIMO,"0,0000","194,4000","194,4000"
17320,COMANDO DO EXERCITO,"-29,4400","2074,9600","1180,5800"
17322,INST. DO PATRIM. HIST. E ARTÍSTICO NACIONAL,"-1072885,6100","1100153,0000","1650153,0000"
17325,FUNDO NACIONAL DE ASSISTENCIA SOCIAL,"135,3600","135,3600","338,4000"
17327,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"174363,3600","25956,5800","15128,9500"
17328,MINISTERIO DAS RELACOES EXTERIORES,"31088,9800","31328,7100","31328,7100"
17331,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"-73876,1900","18459,0000","13844,2500"
17333,COMANDO DO EXERCITO,"0,0000","3981,5100","3981,5100"
17334,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"6590,3400","9361,0000","8011,0000"
17335,FUNDO DO EXERCITO,"-3115,4000","25394,6900","26492,4700"
17336,COMANDO DO EXERCITO,"0,0000","1083,0000","1469,1600"
17337,FUNDACAO NACIONAL DO INDIO,"-121,6500","494,9600","494,9600"
17338,COMPANHIA NACIONAL DE ABASTECIMENTO,"64,7500","64,7500","86,3300"
17339,FUNDO DO EXERCITO,"24721,1900","10364,8900","10518,3400"
17342,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA","7698,0000","49655,4000","76972,4000"
17343,FUNDACAO UNIVERSIDADE FEDERAL DE S.J.DEL-REI,"-1641570,0300","67407,6900","92212,8700"
17344,COMANDO DO EXERCITO,"44743,7200","24170,5100","24170,5100"
17345,COMANDO DO EXERCITO,"-394,9100","37,6000","37,6000"
17346,COMANDO DO EXERCITO,"45404,0000","5420,0000","108,4000"
17348,UNIVERSIDADE FEDERAL DE JATAI,"-3528,5900","-3248,0000","-592,7400"
17349,FUNDO DO EXERCITO,"0,0000","4581,7000","5660,3500"
17350,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"0,0000","0,0000","196854,7800"
17351,AGENCIA NACIONAL DO PETROLEO - ANP,"315000,0000","315000,0000","315000,0000"
17353,MINISTÉRIO DA EDUCAÇÃO,"0,0000","100070,0000","65755,0000"
17356,"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","72000,0000","13720,8000","13720,8000"
17358,FUNDACAO OSWALDO CRUZ,"-183136,7900","168846,0000","144100,5000"
17359,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO","-43348,8200","253670,2500","246713,2600"
17361,ADVOCACIA-GERAL DA UNIAO - AGU,"221308,5900","226953,3700","226953,3700"
17362,"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS","0,0000","17118,6300","2250,0600"
17363,CONTROLADORIA GERAL DA UNIÃO,"-28307,4000","36587,0800","36587,0800"
17365,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-26953,3300","12766,8300","12766,8300"
17366,FUNDO DO SERVICO MILITAR,"0,0000","7661,9900","61120,4000"
17368,COMISSAO NACIONAL DE ENERGIA NUCLEAR - CNEN,"4981,7700","14078,2600","21651,9000"
17369,"INST.FED.DE EDUC.,CIENC.E TEC.DO RS","0,0000","16300,0000","16300,0000"
17371,UNIVERSIDADE FEDERAL DO PARANA,"-515,2000","54010,0000","54010,0000"
17372,COMPANHIA NACIONAL DE ABASTECIMENTO,"-364,9200","-364,9200","-364,9200"
17375,COMANDO DO EXERCITO,"0,0000","2661,8400","2661,8400"
17376,"INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA","-7309,3600","2134,6500","2744,5500"
17377,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","18232,2600","11936,1400"
17378,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO","-15200,0000","22000,0000","13000,0000"
