,Nome Unidade Orçamentária,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
37297,MINISTERIO DA DEFESA,"0,0000","1057,6000","512,0000"
37299,FUNDO DO EXERCITO,"0,0000","5928,7200","6179,8600"
37300,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","7,3500","8133,4200"
37301,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","687,8600","687,8600"
37302,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"1900,0000","1900,0000","1900,0000"
37303,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","1326,0000","725,4300","725,4300"
37304,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE","10762,4600","29038,7200","28380,3700"
37306,FUNDO NACIONAL DE SAUDE,"2638,2900","2638,2900","2638,2900"
37307,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"24289,9100","37112,6600","37112,6600"
37308,COMANDO DO EXERCITO,"-500,0000","1821,0000","1821,0000"
37309,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"-1254,6900","689,3100","986,4100"
37311,COMANDO DO EXERCITO,"0,0000","3325,5000","3325,5000"
37313,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"0,0000","529148,3400","264574,1700"
37314,AGENCIA NAC. DE TRANSPORTES TERRESTRES ± ANTT,"0,0000","102771,4200","100283,9500"
37315,MINISTERIO DA DEFESA,"0,0000","3344,2500","3539,8900"
37316,COMANDO DO EXERCITO,"20,5500","2062,5500","2062,5500"
37319,UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO,"-90807,5100","0,0000","3066,3400"
37320,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,"822835,2200","787322,7000","787322,7000"
37321,COMANDO DO EXERCITO,"-229,0300","2658,5700","2658,5700"
37323,"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","668605,0000","124200,0000","124200,0000"
37324,COMANDO DA MARINHA,"-22940877,4900","2340435,9500","3703136,9500"
37326,FUNDO NACIONAL DE SAUDE,"0,0000","36750501,9700","36750501,9700"
37327,MINISTERIO DAS RELACOES EXTERIORES,"-7964,0700","41993,7400","41993,7400"
37328,COMANDO DO EXERCITO,"6851,0000","20602,7400","99509,0000"
37329,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"0,0000","52800,0000","52800,0000"
37332,"INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA","300,0000","10900,0000","19375,0000"
37334,MINISTERIO DA DEFESA,"-272,0000","619,5000","619,5000"
37335,FUNDO DO EXERCITO,"36,0000","36,0000","36,0000"
37336,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"0,0000","0,0000","3354,2000"
37338,"INST.FED.DE EDUC.,CIENC.E TEC.DO RS","162328,6600","24011,3100","23159,4100"
37340,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"-314,0000","606,0000","606,0000"
37341,FUNDACAO NACIONAL DO INDIO,"4594,2300","10055,7400","10055,7400"
37342,"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS","-1200,5800","5066,4600","4597,9200"
37343,INSTITUTO NACIONAL DO SEGURO SOCIAL,"8088,4400","14311,5900","14311,5900"
37344,COMANDO DO EXERCITO,"-480,7900","-480,7900","-480,7900"
37345,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"0,0000","7500,0000","7500,0000"
37346,MINISTERIO DA DEFESA,"544,0000","12375,5000","12375,5000"
37347,COMANDO DO EXERCITO,"0,0000","1359,7500","1359,7500"
37348,FUNDACAO UNIVERSIDADE DE BRASILIA,"-8388744,6500","74905017,3300","24373990,7700"
37349,FUNDO NACIONAL DE SAUDE,"6195,9900","16338,4400","16338,4400"
37352,FUNDO AERONAUTICO,"117918,7400","59462,5900","51147,3400"
37353,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-13629,3100","1563,9000","877,4000"
37355,FUNDO DO EXERCITO,"52069,6000","0,0000","262,2000"
37357,DEPARTAMENTO DE POLICIA FEDERAL,"307,5200","19731,9200","21637,3600"
37359,MINISTERIO DA CIDADANIA,"0,0000","2459,4000","7416,3000"
37360,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"0,0000","0,0000","291,2900"
37365,HOSPITAL UNIVERSITARIO DA UFTM,"0,0000","0,0000","424,5800"
37367,FUNDO NACIONAL DE SAUDE,"1586522,8200","1714738,9100","1695845,8200"
37369,FUNDACAO UNIVERSIDADE DO MARANHAO,"0,0000","715559,0000","1250289,0000"
37371,FUNDO DO EXERCITO,"0,0000","2800,0000","2800,0000"
37373,COMPANHIA NACIONAL DE ABASTECIMENTO,"43798,9500","40167,4000","42139,4300"
37374,MINISTERIO DAS RELACOES EXTERIORES,"0,0000","25969,2800","25969,2800"
37375,"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS","191,8800","1263,4600","1468,2100"
37376,COMPANHIA NACIONAL DE ABASTECIMENTO,"11159,8500","11951,5000","13070,6100"
37377,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,"2415,8100","1875,8100","1875,8100"
37378,UNIVERSIDADE FEDERAL DO CEARA,"909085,0000","10185042,2300","10185042,2300"
37379,FUNDO DO EXERCITO,"0,0000","0,0000","390,8100"
37380,COMANDO DO EXERCITO,"228994,2500","228994,2500","293582,7100"
37381,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"6783,7600","2154,3400","2154,3400"
37382,INSTITUTO NACIONAL DO SEGURO SOCIAL,"-1474,5000","-1474,5000","-1474,5000"
37383,"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS","-32551,1800","780,0000","134838,4700"
37384,MINISTÉRIO DA EDUCAÇÃO,"0,0000","1600,0000","3200,0000"
37385,FUNDACAO NACIONAL DE SAUDE,"360000,0000","1197328,5500","1202108,5800"
37386,FUNDACAO OSWALDO CRUZ,"0,0000","70011,3500","70011,3500"
37389,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,"21245,8600","21245,8600","20492,4800"
37393,FUNDO DO EXERCITO,"11593,3200","11593,3200","11593,3200"
37394,COMANDO DA MARINHA,"4,0400","746273,9600","746273,9600"
37395,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,"-262835,9300","207,0000","207,0000"
37396,INSTITUTO NACIONAL DO SEGURO SOCIAL,"1042,9200","600,4200","600,4200"
37397,MINISTERIO DA ECONOMIA,"-1733,7200","-1708,0100","-1708,0100"
37398,"INST.FED.DE EDUC.,CIENC.E TEC.GOIANO","2653,4400","47529,8200","45153,3300"
37400,INST.BRAS.DO MEIO AMB.E REC.NAT.RENOVAVEIS,"32512,8200","158471,1000","158471,1000"
37401,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"10804,2000","10000,0000","10000,0000"
37402,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-14907,9200","447,7200","447,7200"
37403,FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,"-3691,3500","183427,5200","176751,2400"
37404,FUNDO DO EXERCITO,"0,0000","785,4900","785,4900"
37408,FUNDO NACIONAL DE SAUDE,"179120,0000","294517,6000","166058,8000"
37412,COMANDO DO EXERCITO,"84994,9100","23430,6300","24651,6300"
37413,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"-259842,0200","2292598,3100","2707779,9700"
37416,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"288720,1000","880,0000","1649,1800"
37419,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,"5649,7800","6350,0000","12700,0000"
37420,COMPANHIA NACIONAL DE ABASTECIMENTO,"612931,1700","612932,2800","1264932,3700"
37424,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,"0,0000","3079,0000","3079,0000"
37425,MINISTERIO DAS RELACOES EXTERIORES,"-182,7300","-182,7300","-182,7300"
37426,INST. DO PATRIM. HIST. E ARTÍSTICO NACIONAL,"310,0000","330,2100","330,2100"
37428,MINISTERIO DAS RELACOES EXTERIORES,"112834,4600","113438,8000","113438,8000"
37429,MINISTERIO DA DEFESA,"0,0000","95,0000","95,0000"
37430,COMPANHIA NACIONAL DE ABASTECIMENTO,"0,0000","0,0000","244,5900"
37433,"INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO","453594,6700","0,0000","14617,5000"
37436,MINISTERIO DAS RELACOES EXTERIORES,"82513,1400","35638,1100","35638,1100"
37437,FUNDO DE AMPARO AO TRABALHADOR,"1445,0000","19059,0600","19059,0600"
37438,FUNDO DO EXERCITO,"0,0000","1428,4000","1983,4200"
37440,AGENCIA ESPACIAL BRASILEIRA - AEB,"370626,7700","188060,1900","188060,1900"
37441,MINISTERIO DAS RELACOES EXTERIORES,"0,0000","75867,4100","75867,4100"
37442,"INST.FED.DE EDUC.,CIENC.E TEC.DE BRASILIA","-17093,4000","21149,6100","21149,6100"
37444,COMANDO DO EXERCITO,"0,0000","543,9900","543,9900"
37445,FUNDO NAVAL,"0,0000","1101,0600","1101,0600"
37446,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO","9747,1500","9747,1500","501506,0200"
37448,COMANDO DA MARINHA,"1447,7300","3573,0000","3573,0000"
37449,COMPANHIA NACIONAL DE ABASTECIMENTO,"32545,3500","32545,3500","32545,3500"
37451,COMANDO DO EXERCITO,"0,0000","2453,8800","2453,8800"
37452,FUNDACAO NACIONAL DO INDIO,"-9219,6000","692,4000","692,4000"
37454,COMANDO DO EXERCITO,"1187,5000","7492,0500","7492,0500"
37455,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"1667086,5000","1632436,8000","3004406,5900"
37456,COMANDO DO EXERCITO,"-970,8700","9701,0000","16452,1500"
37457,FUNDO NACIONAL DE SAUDE,"-5395,6600","42302,1700","42302,1700"
37458,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"0,0000","10582,8500","13275,4400"
37460,COMPANHIA NACIONAL DE ABASTECIMENTO,"3142,4500","3424,9500","2199,8300"
37462,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO","28900,0000","64240,0000","4080,0000"
37463,COMANDO DO EXERCITO,"0,0000","228,7200","178,7200"
37464,ADVOCACIA-GERAL DA UNIAO - AGU,"-192897,5500","445922,6800","734663,9900"
37466,MINISTERIO DA ECONOMIA,"0,0000","124,1400","248,2800"
37470,MINISTERIO DA DEFESA,"-1995,0000","8772,5300","11979,6500"
37474,MINISTERIO DAS RELACOES EXTERIORES,"489,8700","-127,2200","-127,2200"
37475,COMANDO DO EXERCITO,"0,0000","4562,8700","4562,8700"
37476,COMANDO DA AERONAUTICA,"890,0000","4410,0000","14766,0000"
37477,MINISTERIO DA DEFESA,"0,0000","27790,4200","18096,1100"
37478,COMANDO DA AERONAUTICA,"0,0000","11903,0400","6021,8100"
37479,"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO","-7555,5200","1092,2400","1092,2400"
37480,INST.BRAS.DO MEIO AMB.E REC.NAT.RENOVAVEIS,"-36325,8500","19220,2500","19220,2500"
37482,COMANDO DO EXERCITO,"0,0000","5768,3300","5768,3300"
37484,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"-3000,0000","-3000,0000","-3000,0000"
37485,COMANDO DO EXERCITO,"-220,5000","661,5000","1039,5000"
37486,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","0,0000","3998,9600"
37487,UNIVERSIDADE FEDERAL DE ALAGOAS,"0,0000","-200,0000","15207,2700"
37488,FUNDACAO OSORIO,"-101381,9500","55154,1000","75912,3400"
37489,COMANDO DO EXERCITO,"-245,6400","1975,6200","987,8100"
37493,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","494,5800","270,7200"
37494,FUNDACAO UNIVERSIDADE FED.DE MATO GROS.DO SUL,"1669004,9800","1905850,2500","1036078,8300"
37496,"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO","8039,5700","8039,5700","8039,5700"
37497,FUNDO NACIONAL DE SAUDE,"-483878,9700","5319690,9300","5578364,7900"
37498,FUNDO NAVAL,"0,0000","19796,3600","5186,5800"
37499,COMANDO DO EXERCITO,"0,0000","876,4000","876,4000"
37500,AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS-ANTAQ,"-181193,1300","18596,6800","26154,0200"
37501,FUNDO NACIONAL DE SAUDE,"134558,7600","910,0000","910,0000"
37502,BANCO CENTRAL DO BRASIL,"7084,4700","7084,4700","7084,4700"
37503,HOSPITAL UNIVERSITARIO VALTER CANTIDIO,"-4540,5500","14316,6000","11142,8500"
37506,COMANDO DO EXERCITO,"0,0000","1251,2500","1251,2500"
37509,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","522,0000","261,0000"
37510,COMANDO DO EXERCITO,"94999,6000","1838,2400","1838,2400"
37511,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"292813,1300","41561,0600","41561,0600"
37513,MINISTERIO DA DEFESA,"0,0000","43104,1200","43104,1200"
37515,COMANDO DO EXERCITO,"0,0000","63900,0000","63900,0000"
37516,MINISTERIO DA CIDADANIA,"0,0000","10374,7000","11997,0600"
37517,PROCURADORIA GERAL DA FAZENDA NACIONAL,"0,0000","27345,2100","18102,6300"
37519,COMANDO DO EXERCITO,"0,0000","32314,5000","32228,5000"
37520,"INST.FED.DE EDUC.,CIENC.E TEC.DE BRASILIA","0,0000","11660,4000","11660,4000"
37524,"INST.FED.DE EDUC.,CIENC.E TEC.DO ACRE","9037,0000","10084,4200","33329,5800"
37525,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"3200,2100","684,1700","684,1700"
37526,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO","51538,1100","13740,7100","14096,9100"
37527,FUNDO NAVAL,"2698,0000","2698,0000","2698,0000"
37528,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA","0,0000","0,0000","33500,0000"
37529,COMANDO DO EXERCITO,"0,0000","341,6200","59,6200"
37531,MINISTERIO DA DEFESA,"-10980,0000","-162,0000","2440,6700"
37534,COMANDO DO EXERCITO,"8918,7200","1590,0000","1590,0000"
37535,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"0,0000","12438,5400","12438,5400"
37536,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"0,0000","38790,7200","38790,7200"
37537,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-1260,0000","265,0000","265,0000"
37539,MINISTERIO DA ECONOMIA,"-70000,0000","614824,1900","614824,1900"
37541,FUNDO DO EXERCITO,"0,0000","29520,0000","29520,0000"
37542,UNIVERSIDADE FEDERAL DO CEARA,"590479,1200","139752,2700","145397,2700"
37543,COMANDO DO EXERCITO,"2806,5100","22083,9200","19334,9200"
37544,COMANDO DO EXERCITO,"253,8000","634,5000","634,5000"
37546,"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO","527502,9900","73839,8200","60671,0000"
37547,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"20000,0000","4680,9500","4680,9500"
37548,DEPARTAMENTO DE POLICIA FEDERAL,"0,0000","13408,8500","13408,8500"
37549,FUNDO AERONAUTICO,"0,0000","713,4800","713,4800"
37550,FUNDO DO EXERCITO,"-0,0100","30228,9900","30228,9900"
37551,MINISTERIO DA ECONOMIA,"3693457,0000","154928,3200","153352,8900"
37553,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"0,0000","751,5200","751,5200"
37554,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"457,7500","20299,1700","20299,1700"
37555,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","6819,0400","6819,0400"
37557,DEPARTAMENTO DE POLICIA FEDERAL,"-94879,3700","354600,3300","422830,4000"
37558,AGENCIA NACIONAL DE AGUAS ± ANA,"8751,1900","18658,5900","14279,8300"
37559,COMANDO DO EXERCITO,"0,0000","3866,8000","3866,8000"
37562,COMANDO DO EXERCITO,"0,0000","16977,1300","20194,7100"
37563,FUNDO DO SERVICO MILITAR,"-104,6500","80,0000","10390,6700"
37564,FUNDO NAVAL,"1556,7000","929,0000","929,0000"
37566,FUNDACAO NACIONAL DE SAUDE,"946,6700","2058,6500","4117,3000"
37567,INDUSTRIA DE MATERIAL BELICO DO BRASIL-IMBEL,"18338,1200","12962,7200","49409,3000"
37568,COMANDO DO EXERCITO,"-96780,0000","20942,8000","13514,8000"
37571,AGENCIA NACIONAL DO PETROLEO - ANP,"29457,1000","37804,6000","37804,6000"
37572,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"2054,5200","2054,5200","2054,5200"
37573,"INST.FED.DE ED.,CIENC.E TEC.DO S.PERNAMBUCANO","5489897,8500","14248294,8800","8762895,1800"
37574,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,"0,0000","244517,6200","530780,0400"
37575,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA","155668,9400","4405,7700","4405,7700"
37576,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","0,0000","10399,7600"
37583,COMPLEXO HOSPITALAR E DE SAUDE DA UFRJ,"221983,5000","221983,5000","221983,5000"
37584,SERVICO FLORESTAL BRASILEIRO,"0,0000","7030,7700","7030,7700"
37586,SUPERINT. DE DESENV. DO CENTRO-OESTE - SUDECO,"145116,7200","36897,7000","36897,7000"
37589,MINISTERIO DAS RELACOES EXTERIORES,"-715,5900","-715,5900","-715,5900"
37591,"INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL","136502,5000","136645,1700","132405,4300"
37592,COMANDO DO EXERCITO,"-9,2400","2468,8900","2302,6600"
37593,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE","10400,0000","6400,0000","6400,0000"
37596,FUNDO DO EXERCITO,"14924,0000","19174,0000","19174,0000"
37597,FUNDO DE AMPARO AO TRABALHADOR,"232283,8000","804944,9300","713322,7400"
37601,COMANDO DO EXERCITO,"4036,5200","52294,3600","57112,8800"
37603,FUNDO NAVAL,"6635,0000","23860,0000","11930,0000"
37605,COMANDO DO EXERCITO,"-637,9200","7454,0000","7454,0000"
37607,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,"0,0000","93425,8400","183552,6500"
37608,FUNDO NAVAL,"17500,0000","47250,0000","31000,0000"
37609,MINISTERIO DA DEFESA,"66566,1700","99471,9200","99471,9200"
37610,DEPARTAMENTO NAC. DE OBRAS CONTRA AS SECAS,"0,0000","55166,4100","48910,3400"
37611,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"0,0000","0,0000","8475,0000"
37614,FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,"0,0000","44000,0000","44400,0000"
37616,COMANDO DO EXERCITO,"15262,8200","7631,4100","155592,3100"
37618,COMANDO DO EXERCITO,"0,0000","2037,8000","362,2600"
37620,FUNDO NACIONAL DE SAUDE,"78581,2200","238258,6400","324432,3100"
37623,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"611,0000","611,0000","611,0000"
37624,FUNDO DO EXERCITO,"-5000,0000","1459,5800","1459,5800"
37625,"INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE","82481,3300","25403,1900","32922,8200"
37626,MINISTERIO DA DEFESA,"203792,9900","340091,2000","340091,2000"
37627,MINISTERIO DA DEFESA,"0,0000","-3240596,7000","-3240596,7000"
37629,MINISTERIO DAS RELACOES EXTERIORES,"-32,3900","1518,3600","1518,3600"
37630,COMANDO DO EXERCITO,"0,0000","1267,9000","1267,9000"
37631,COMANDO DO EXERCITO,"-0,7500","27564,7100","27564,7100"
37632,COMANDO DO EXERCITO,"5254,5300","6183,6800","3368,8000"
37635,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"-88176,2600","19146,2000","14702,5200"
37639,COMANDO DO EXERCITO,"0,0000","2211,0000","2226,0000"
37640,UNIVERSIDADE FEDERAL DE SANTA CATARINA,"2017824,4100","2017824,4100","2017443,2900"
37642,INSTITUTO NACIONAL DO SEGURO SOCIAL,"-5,0000","13795,4800","13795,4800"
37645,FUNDO DO EXERCITO,"-433,5200","3147,0800","3147,0800"
37646,FUNDO DO EXERCITO,"0,0000","5603,5000","5603,5000"
37647,FUNDACAO UNIVERSIDADE FEDERAL DE OURO PRETO,"-768,9900","27688,1700","19647,8400"
37648,MINISTERIO DE MINAS E ENERGIA,"192072,7500","107124,6100","107124,6100"
37649,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"-11782,0900","-440,0300","160,9700"
37650,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA","88649,9900","1955,0000","1955,0000"
37651,INDUSTRIA DE MATERIAL BELICO DO BRASIL-IMBEL,"-109046,4400","78288,1900","69413,1300"
37652,COMANDO DO EXERCITO,"0,0000","58731,3000","60299,3000"
37654,UNIVERSIDADE FEDERAL DE ALFENAS,"0,0000","3600,0000","7200,0000"
37655,COMANDO DO EXERCITO,"0,0000","446,8100","678,5100"
37657,UNIVERSIDADE FEDERAL DA BAHIA,"-110,3000","889,7000","889,7000"
37658,COMANDO DO EXERCITO,"350,0000","1884,0000","1884,0000"
37659,FUNDACAO NACIONAL DE SAUDE,"0,0000","2700,0000","3090,1500"
37660,AGENCIA NACIONAL DE MINERACAO,"0,0000","90,9200","110,4500"
37661,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,"-660,0000","67156,7200","140796,9100"
37665,COMANDO DO EXERCITO,"0,0000","0,0000","1300,0000"
37667,COMANDO DO EXERCITO,"0,0000","3585,8200","1272,2400"
37668,AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,"2253140,0000","47630,1000","2772630,1000"
37669,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"0,0000","1003,0000","1003,0000"
37671,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"0,0000","0,0000","149,0800"
37673,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"-35173,6000","60781,9000","62100,4000"
37674,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","0,0000","50000,0000","0,6300"
37675,COMANDO DA MARINHA,"-39842,7600","47679,9500","13382,0000"
37676,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"-15058,5600","3409,9200","2717,5200"
37677,COMANDO DO EXERCITO,"6000,0000","3868,7100","5857,9200"
37681,MINISTERIO DA DEFESA,"-2338,0000","11851,7000","11851,7000"
37682,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO","790,0000","790,0000","790,0000"
37685,DEPARTAMENTO DE POLICIA FEDERAL,"-2294752,9600","865960,6700","831279,2500"
37686,RECURSOS SOB SUPERVISAO DO ME - EFU,"990008,0000","990008,0000","990008,0000"
37687,MINISTERIO DA DEFESA,"0,0000","-210004,5600","-210004,5600"
37688,MINISTERIO DA DEFESA,"-0,9000","1400,0000","1464,5400"
37690,COMANDO DO EXERCITO,"94115,7800","94115,7800","94115,7800"
37693,UNIVERSIDADE FEDERAL FLUMINENSE,"0,0000","125340,0000","253900,0000"
37694,COMANDO DO EXERCITO,"1138,4200","8110,8100","8110,8100"
37695,FUNDO NAVAL,"0,0000","3300,0000","11552,4500"
37698,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA","-321,6300","9435,9600","9435,9600"
37699,COMANDO DO EXERCITO,"-6124,6200","3172,4700","3172,4700"
37701,COMPANHIA NACIONAL DE ABASTECIMENTO,"2,0200","17,9900","17,9900"
37703,MINISTERIO DA ECONOMIA,"2262,8000","2262,8000","2262,8000"
37704,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"5000,0000","5000,0000","5000,0000"
37706,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"20000,0000","15653,6000","34210,3000"
37707,FUND. INST.BRASIL. DE GEOGRAFIA E ESTATISTICA,"2504,0000","2504,0000","2504,0000"
37710,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"6535,1000","550,4300","550,4300"
37712,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","42400,0000","40759,8000","40759,8000"
37713,DEPARTAMENTO DE POLICIA FEDERAL,"-1842,2600","-1535,2300","-1535,2300"
37714,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"679790,4000","634965,3700","634965,3700"
37716,DEPARTAMENTO DE POLICIA FEDERAL,"0,0000","7231,0800","9943,3800"
37717,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"-169814,6900","-1238,1900","3171,1300"
37718,COMANDO DO EXERCITO,"-175,2700","3549,5000","7945,4300"
37719,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"-3358,6900","3560,5800","3560,5800"
37725,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"0,0000","11751,5600","11751,5600"
37726,FUNDO DO EXERCITO,"0,0000","0,0000","559,0000"
37727,MINISTERIO DAS RELACOES EXTERIORES,"-1186,3800","6740,2300","6740,2300"
37728,ARQUIVO NACIONAL,"0,0000","-66715,3600","-66715,3600"
37729,"INST.FED.DE EDUC.,CIENC.E TEC.DO NORTE DE MG","22159,3600","630,0000","630,0000"
37731,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"0,0000","10106,5800","10106,5800"
37732,FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,"157414,8400","96513,3300","91480,1400"
37734,INSTITUTO FEDERAL DO PARANA - IFPR,"194654,4400","27585,7100","32572,7900"
37735,FUNDO NAVAL,"1522,4200","1522,4200","1522,4200"
37736,"INST.FED.DE EDUC.,CIENC.E TEC.DO SUDESTE MG","98280,0000","3520,0000","61120,0000"
37739,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"-5,0000","-78,3700","-78,3700"
37741,COMANDO DO EXERCITO,"-0,2000","2869,5500","8037,3000"
37742,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO","18598,5800","34540,5400","198155,3900"
37747,TRIBUNAL SUPERIOR ELEITORAL,"0,0000","19530,0000","19530,0000"
37751,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"95113,3600","638510,2200","638510,2200"
37753,DEPARTAMENTO DE POLICIA FEDERAL,"42120,0000","35100,0000","35100,0000"
37754,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"-243117,8000","110316,7100","110316,7100"
37755,FUNDO DO EXERCITO,"-0,0200","4994,8100","4994,8100"
37756,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"381,7400","2160261,5600","1697168,5600"
37757,AGENCIA NACIONAL DE MINERACAO,"47642,2600","44821,4200","45126,4600"
37760,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"-6553,2400","-13106,4800","-13106,4800"
37761,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,"27964,4400","40770,0000","40770,0000"
37763,FUNDACAO UNIVERSIDADE FEDERAL DO ACRE,"924013,0000","3824,1300","155701,1300"
37765,"INST.FED.DE EDUC.,CIENC.E TEC.DO PARA","5823,7700","43097,4000","43097,4000"
37766,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"7357,4700","43696,4600","39288,5600"
37767,INDUSTRIA DE MATERIAL BELICO DO BRASIL-IMBEL,"247581,5800","2827,0000","5005,0000"
37768,INST.BRAS.DO MEIO AMB.E REC.NAT.RENOVAVEIS,"0,0000","1802,1400","1802,1400"
37769,FUNDO DO EXERCITO,"0,0000","410,6000","410,6000"
37770,COMANDO DO EXERCITO,"-38881,0700","-6073,1700","-34385,8200"
