,NOME MUNICÍPIO
BURITAMA,4220
IELMO MARINHO,4216
BAIXA GRANDE DO RIBEIRO,4210
ANGICOS,4208
FAGUNDES,4207
SAO JOSE DO CAMPESTRE,4207
CAPITAO ENEAS,4205
SABINOPOLIS,4201
SANTANA DO MUNDAU,4199
BELEM DE MARIA,4197
ITIRUCU,4196
LICINIO DE ALMEIDA,4195
SAO JOSE DOS QUATRO MARCOS,4194
LIMA CAMPOS,4193
MANSIDAO,4192
ALVORADA D'OESTE,4192
CEREJEIRAS,4191
ANTONIO CARDOSO,4189
SAO LOURENCO DA SERRA,4188
SANTO ANTONIO DO SUDOESTE,4186
BREJETUBA,4177
PARAIBUNA,4176
TARUMIRIM,4176
PIRANGA,4175
PERDOES,4174
MIRABELA,4172
SIQUEIRA CAMPOS,4167
LAGOA FORMOSA,4164
ITAIPE,4159
CAIAPONIA,4149
MONTANHAS,4144
IPAPORANGA,4138
SALGADO DE SAO FELIX,4134
REBOUCAS,4130
MENDES,4129
BROTAS,4127
CAAPIRANGA,4126
ARARA,4126
FLEXEIRAS,4124
CHORO,4123
PILOES,4114
UARINI,4114
BOTUPORA,4108
FRONTEIRAS,4103
MIRANTE DO PARANAPANEMA,4102
BELA VISTA DO MARANHAO,4100
SUCUPIRA DO NORTE,4093
SAO FRANCISCO DE ASSIS,4088
NINA RODRIGUES,4087
CAEM,4087
PAPANDUVA,4083
BITURUNA,4081
DARIO MEIRA,4081
PIMENTEIRAS,4079
PAU D'ARCO,4077
ITAINOPOLIS,4075
ANTONIO CARLOS,4074
ALTO DO RODRIGUES,4071
JANDAIA DO SUL,4069
ATALAIA DO NORTE,4065
TAMBAU,4062
CANDIDO DE ABREU,4059
CHOPINZINHO,4057
DUQUE BACELAR,4053
MIRANORTE,4050
VALPARAISO,4047
ARAUA,4046
PIRATINI,4045
BENEDITINOS,4045
JUCATI,4043
MARECHAL FLORIANO,4043
MATUPA,4041
ITAIOPOLIS,4041
CORDEIROPOLIS,4040
CONTENDA,4038
BADY BASSITT,4028
LIMA DUARTE,4024
ANAMA,4024
MUQUI,4019
PALESTINA,4019
ALTONIA,4017
CURIMATA,4014
CARMOPOLIS DE MINAS,4013
CAMPO GRANDE (EX-AUGUSTO SEVERO),4012
MATINA,4010
SERIDO,4002
BROTAS DE MACAUBAS,3998
GUARA,3996
JAPURA,3990
CRUZILIA,3990
MANOEL URBANO,3990
CERQUEIRA CESAR,3990
SANTA CRUZ DA BAIXA VERDE,3988
PACOTI,3986
JULIO DE CASTILHOS,3981
LAGOA DO MATO,3979
AXIXA,3978
LAGOA SALGADA,3977
MACAJUBA,3976
SAUDE,3974
CORONEL VIVIDA,3974
ARARENDA,3965
MATIAS OLIMPIO,3965
PARANAPANEMA,3962
SAO FELIX,3961
JACUPIRANGA,3954
SAO JOAO DAS MISSOES,3948
ELIAS FAUSTO,3944
PRESIDENTE BERNARDES,3943
GOIATINS,3942
FERNANDO FALCAO,3941
TABOCAS DO BREJO VELHO,3941
CASSIA,3933
NOVA ERA,3932
PAU BRASIL,3930
CRIXAS,3929
BUJARI,3928
SAO MIGUEL DAS MATAS,3925
CACIMBINHAS,3924
CHORROCHO,3921
SENGES,3918
CIDREIRA,3917
PENDENCIAS,3916
RIO POMBA,3916
MARCIONILIO SOUZA,3913
CAPINZAL DO NORTE,3908
PARNAGUA,3897
PENAFORTE,3892
CHAPADA GAUCHA,3888
PIRAJUI,3885
RODELAS,3883
PRESIDENTE OLEGARIO,3883
NOVA FLORESTA,3881
XAXIM,3877
UBAPORANGA,3877
ABADIANIA,3872
GENTIO DO OURO,3872
PEDRA BRANCA DO AMAPARI,3871
NOVO LINO,3871
NAZARIA,3869
CAMPESTRE DO MARANHAO,3869
NOSSA SENHORA DOS REMEDIOS,3868
BREJAO,3867
SANTA GERTRUDES,3866
BRASILANDIA DE MINAS,3860
ABELARDO LUZ,3853
SAO DOMINGOS DO PRATA,3851
INHANGAPI,3851
CLEVELANDIA,3850
MARAIAL,3850
ANTONIO GONCALVES,3850
IRAMAIA,3849
SANTA MARIA DO SUACUI,3846
PALMACIA,3845
DONA INES,3843
ITATINGA,3843
ITAJA,3834
CAMPINA VERDE,3829
CAJAPIO,3827
SAO JOAO DO TRIUNFO,3823
NIOAQUE,3821
JEQUIA DA PRAIA,3821
CARNAUBAIS,3821
SAO JOSE DO JACUIPE,3818
CAMPO REDONDO,3818
CRISTINO CASTRO,3811
CANDOI,3810
ITAGUACU,3809
MUCUGE,3808
BOM JESUS DA SERRA,3806
SANTO ANTONIO DO JACINTO,3802
MOITA BONITA,3801
NOVA GRANADA,3796
XANGRI-LA,3794
CAPELA DO ALTO ALEGRE,3792
ABAIARA,3790
PALMEIRAS,3789
GUAPIACU,3788
MANAIRA,3786
POCO FUNDO,3783
COITE DO NOIA,3782
JAGUARUNA,3782
MARIO CAMPOS,3782
ANGELIM,3782
AGUAS DE LINDOIA,3781
GRAO MOGOL,3778
MARCOLANDIA,3769
BORDA DA MATA,3767
SETE BARRAS,3766
CAPIXABA,3764
TERENOS,3760
TOCANTINS,3759
IVAI,3759
RIACHINHO,3757
ARATUIPE,3757
MONSENHOR GIL,3757
LENCOIS,3757
POTIRAGUA,3756
IGARAPE GRANDE,3754
MONTE ALEGRE DO PIAUI,3748
AFONSO BEZERRA,3746
VAZANTE,3744
CAROEBE,3735
SANTO ANASTACIO,3734
BOM REPOUSO,3732
TRES COROAS,3732
IMACULADA,3731
INDIARA,3729
VIRGEM DA LAPA,3724
ITATUBA,3724
SAO SEBASTIAO DE LAGOA DE ROCA,3722
ARAMARI,3710
MANGUEIRINHA,3709
CATANDUVAS,3708
GILBUES,3708
COLORADO DO OESTE,3704
SAO JOSE DO DIVINO,3702
PRESIDENTE VARGAS,3700
CAMPANHA,3700
SIGEFREDO PACHECO,3695
ALTO ARAGUAIA,3694
CALCOENE,3693
PORTO FIRME,3687
CARLOPOLIS,3686
CAPIVARI DE BAIXO,3685
SAO JOSE DO RIO CLARO,3681
ITAUEIRA,3675
DOIS RIACHOS,3675
ALTO RIO DOCE,3672
MONTE NEGRO,3671
UMARIZAL,3668
GUARACIABA,3667
SAO PEDRO DA AGUA BRANCA,3663
IUIU,3663
TENENTE ANANIAS,3656
GROAIRAS,3646
RIO VERMELHO,3644
UBAI,3644
ARAPUTANGA,3642
CURIUVA,3642
ALTEROSA,3633
BRASOPOLIS,3629
SAO MIGUEL DO GOSTOSO,3629
SERINGUEIRAS,3627
CACHOEIRA GRANDE,3622
CABECEIRAS DO PIAUI,3620
VARZEDO,3618
BRANQUINHA,3616
SILVES,3614
NOVA RESENDE,3608
CESARIO LANGE,3608
CATUNDA,3608
LAGOA DA CONFUSAO,3607
PARICONHA,3606
LUZ,3605
ESTRELA,3603
JAGUARIBARA,3599
CERRO CORA,3599
TRES BARRAS,3593
PANORAMA,3592
FERREIROS,3590
BRASNORTE,3588
PARANHOS,3587
CALCADO,3587
CARAPEBUS,3583
CAMPINORTE,3583
ILHA GRANDE,3577
NORMANDIA,3573
NOVA BANDEIRANTES,3572
ARAGOIANIA,3571
SALGADINHO,3569
IACIARA,3568
RIBEIRAO DO PINHAL,3567
PIRIPA,3565
CAMPINAPOLIS,3565
GUADALUPE,3562
CARDOSO MOREIRA,3561
SENADOR ALEXANDRE COSTA,3558
MORTUGABA,3557
FELIXLANDIA,3548
IRACEMAPOLIS,3546
ORIZONA,3545
DIVISOPOLIS,3543
CENTRO DO GUILHERME,3542
REDENCAO DO GURGUEIA,3538
PRADOPOLIS,3537
REGENTE FEIJO,3536
ITALVA,3535
MONTE AZUL PAULISTA,3531
XAMBIOA,3530
FLORES DE GOIAS,3527
ALVINOPOLIS,3524
MOZARLANDIA,3524
SAO MIGUEL DO TOCANTINS,3523
PAPAGAIOS,3522
ITAMARATI,3515
JAQUEIRA,3515
GADO BRAVO,3507
SAO JOAO DO ARRAIAL,3506
LORETO,3505
GUARANESIA,3503
JUNQUEIROPOLIS,3503
ITANHOMI,3502
TAPES,3502
BOTELHOS,3497
DOM FELICIANO,3494
BOCAINA,3492
AREAL,3490
SAO SEBASTIAO DO UATUMA,3490
ABRE CAMPO,3490
POMPEIA,3484
QUIXABEIRA,3482
TRES DE MAIO,3482
IBITIRAMA,3477
PEDRO AFONSO,3474
FARO,3473
CANANEIA,3473
BONITO DE SANTA FE,3467
SANTA TEREZINHA DE GOIAS,3467
PIEDADE DE CARATINGA,3465
LARANJAL,3462
JACINTO,3462
FERVEDOURO,3461
MARANHAOZINHO,3459
SAO PEDRO DO SUL,3455
SERRA CAIADA (EX-PRESIDENTE JUSCELINO),3455
PONTO DOS VOLANTES,3449
MARIA DA FE,3448
ENTRE RIOS DE MINAS,3447
NOVO TRIUNFO,3446
AMATURA,3441
MONTES ALTOS,3439
SAO BENEDITO DO SUL,3438
PASSA QUATRO,3437
NOVA UNIAO,3436
TERRA RICA,3431
DESTERRO,3425
CATARINA,3424
ALUMINIO,3424
IPIRANGA DO PIAUI,3421
FLORES DA CUNHA,3419
VILA BELA DA SANTISSIMA TRINDADE,3418
LAMARAO,3416
CAICARA,3415
ASSAI,3415
PUREZA,3412
ITAPEBI,3411
ICARAI DE MINAS,3411
TEUTONIA,3410
ALCANTARAS,3410
IPIRANGA,3409
ACARI,3408
SAO LOURENCO DO OESTE,3403
BALNEARIO PINHAL,3402
MAXARANGUAPE,3402
LUIS DOMINGUES,3401
VIANOPOLIS,3401
POTIRENDABA,3399
GOVERNADOR ARCHER,3398
COLINA,3398
JURIPIRANGA,3398
ANISIO DE ABREU,3396
MANOEL RIBAS,3391
CORBELIA,3388
CARNEIROS,3385
CAMPINA DA LAGOA,3383
JURUA,3379
CARAIBAS,3376
CARDEAL DA SILVA,3376
DOIS IRMAOS,3373
JUCURUCU,3373
BELA VISTA DO PARAISO,3373
DOM INOCENCIO,3373
ALTO PARNAIBA,3371
ITUPORANGA,3369
JEQUERI,3368
PORTO WALTER,3368
SANTANOPOLIS,3368
ITAPE,3368
GOVERNADOR NEWTON BELLO,3366
ILHA DAS FLORES,3366
MIRANTE,3361
JOAO NEIVA,3360
AGUA CLARA,3357
LUIS GOMES,3354
BARRACAO,3353
NOVO ORIENTE DE MINAS,3351
CENTRAL DO MARANHAO,3350
IPUPIARA,3348
MARCACAO,3348
FRONTEIRA,3346
GUARACI,3344
ITAPORA,3344
CAMAPUA,3342
REALEZA,3341
JURU,3337
LAGO DO JUNCO,3336
BASTOS,3335
IBIASSUCE,3331
CONCHAS,3329
RIACHO DOS CAVALOS,3327
LUCELIA,3320
PIRPIRITUBA,3320
LAJES,3319
SEVERINIA,3316
SETUBINHA,3315
ALTO PARANA,3314
JARDIM DO SERIDO,3309
SANTAREM NOVO,3309
GARUVA,3308
LAGOA ALEGRE,3308
MIRANTE DA SERRA,3301
PEDREGULHO,3300
URUPA,3295
ALTINOPOLIS,3295
ALTO ALEGRE DOS PARECIS,3294
CONCEICAO DO CASTELO,3294
RIO DO PIRES,3293
RIO AZUL,3292
MAMBORE,3292
ITABIRINHA,3291
CACHOEIRA DOS INDIOS,3284
ARRAIAS,3283
NOSSA SENHORA APARECIDA,3281
CAPINOPOLIS,3277
NOSSA SENHORA DO LIVRAMENTO,3274
OLHO D'AGUA DO CASADO,3269
MORPARA,3267
LARANJA DA TERRA,3266
MATOES DO NORTE,3261
GIRUA,3261
MATA VERDE,3260
IGUATEMI,3260
BAIA DA TRAICAO,3258
GODOFREDO VIANA,3257
PALMARES DO SUL,3245
ARATACA,3244
SERTANOPOLIS,3243
BOCAIUVA DO SUL,3240
SANTA BRANCA,3232
RIO PIRACICABA,3231
SENHORA DOS REMEDIOS,3226
ITARIRI,3225
AMPERE,3218
GROSSOS,3216
TRES PASSOS,3214
SAO JOAO D'ALIANCA,3213
JAPONVAR,3210
RIO PARANAIBA,3209
ROSARIO DO CATETE,3207
PALHANO,3204
ALFREDO CHAVES,3203
JANUARIO CICCO,3202
JAPARATINGA,3202
PIRAMBU,3199
ENGENHEIRO PAULO DE FRONTIN,3198
BREJO DE AREIA,3197
BREJOLANDIA,3197
JOACABA,3195
FARTURA,3187
GARIBALDI,3187
PEDRINHAS,3186
NINHEIRA,3185
SEBASTIAO LARANJEIRAS,3184
CHARQUEADA,3182
PINTADAS,3182
CUMARU DO NORTE,3182
FLORESTA AZUL,3181
MARCELANDIA,3176
CALDAS,3171
QUATIS,3170
CANDEAL,3170
RESTINGA SECA,3164
ITAJOBI,3163
TUPARETAMA,3160
VARRE-SAI,3159
JACANA,3159
ERICO CARDOSO,3157
BONITO DE MINAS,3154
VIRADOURO,3153
CONCEICAO DO RIO VERDE,3153
UIRAMUTA,3151
ITAMONTE,3148
EDEIA,3145
AGUDO,3145
MARTINHO CAMPOS,3145
QUIXABA,3143
ANANAS,3142
ISAIAS COELHO,3142
GUAPE,3136
RIBEIRAO DO LARGO,3130
LONTRA,3129
ARROIO DOS RATOS,3129
LAGO DOS RODRIGUES,3122
DIONISIO CERQUEIRA,3119
CAPITAO LEONIDAS MARQUES,3118
GUABIRUBA,3116
MORAUJO,3113
ROLANTE,3112
LAGOA DOURADA,3111
CACU,3110
CAPUTIRA,3109
BALNEARIO ARROIO DO SILVA,3105
NOVA CRIXAS,3101
JERONIMO MONTEIRO,3098
ABAIRA,3097
TERRA BOA,3097
POTENGI,3095
PORTO DE PEDRAS,3095
ANGUERA,3092
MAIQUINIQUE,3091
DOURADINA,3088
VILA NOVA DOS MARTIRIOS,3087
PEABIRU,3084
MAGALHAES BARATA,3083
INACIO MARTINS,3077
MONTE BELO,3075
CAMBUQUIRA,3074
MARMELEIRO,3073
RIO CASCA,3072
SONORA,3069
DOIS IRMAOS DO BURITI,3068
FLORANIA,3066
PEIXE-BOI,3065
SOBRADO,3065
WANDERLANDIA,3064
SANTA CRUZ DO ARARI,3060
VERTENTE DO LERIO,3059
SAO MIGUEL DOS MILAGRES,3058
CAMPO LARGO DO PIAUI,3057
URUCUIA,3056
SAO RAFAEL,3051
CHAPADA DO NORTE,3051
SANTANA DO MARANHAO,3050
ENGENHEIRO CALDAS,3049
DEPUTADO IRAPUAN PINHEIRO,3047
PIRAI DO NORTE,3046
MARCELINO VIEIRA,3044
COROACI,3043
OURICANGAS,3043
ORLEANS,3042
ILICINEA,3038
TACIMA,3037
CAMPOS ALTOS,3036
PIRES FERREIRA,3036
NOVA ITARANA,3032
TANQUINHO,3031
ANDRELANDIA,3030
UMBUZEIRO,3029
BREJO GRANDE,3026
TACURU,3023
WAGNER,3022
BALNEARIO GAIVOTA,3016
SITIO NOVO DO TOCANTINS,3015
ANTONINA DO NORTE,3015
GUARAQUECABA,3013
SANTA LEOPOLDINA,3012
CACHOEIRA DE PAJEU,3009
LAJEDO DO TABOCAL,3009
SANTA MARIA DO OESTE,3006
JARDIM ALEGRE,3005
BURITI DOS MONTES,3002
MARA ROSA,3000
COTRIGUACU,2999
POCRANE,2996
LAGOA DE PEDRAS,2993
CAMPO DO MEIO,2992
DUAS BARRAS,2992
GRANITO,2984
PIQUETE,2974
BOA VISTA DO GURUPI,2971
IMBAU,2969
AGUIA BRANCA,2968
FREI INOCENCIO,2964
CORREIA PINTO,2964
FEIRA NOVA DO MARANHAO,2964
SANTANA DO MANHUACU,2962
CACEQUI,2960
BICAS,2959
SAO JOSE DO CALCADO,2959
CAMPO NOVO DE RONDONIA,2959
IBIRAPUA,2954
MONTEIROPOLIS,2954
DEODAPOLIS,2953
SAO JERONIMO DA SERRA,2952
PALMEIRINA,2951
FLORESTOPOLIS,2951
LAGOA DE DENTRO,2950
BOA HORA,2948
JUAREZ TAVORA,2947
SAO LUIS DO PARAITINGA,2945
CATUJI,2945
MATARACA,2944
MATIAS BARBOSA,2941
ESTIVA,2941
PINHEIRO MACHADO,2940
SAO SEBASTIAO DO MARANHAO,2939
MONSENHOR HIPOLITO,2937
ICONHA,2937
PARANAITA,2935
NOVA LARANJEIRAS,2935
MUNIZ FERREIRA,2935
PERDIZES,2934
GOVERNADOR CELSO RAMOS,2934
RAPOSOS,2932
IAPU,2932
SATUBINHA,2930
ESPIRITO SANTO,2928
MOREIRA SALES,2927
MONTE CASTELO,2926
PEDRAS DE MARIA DA CRUZ,2922
BERILO,2920
NOVA HARTZ,2918
BAIA FORMOSA,2918
CUBATI,2916
CATURAMA,2916
JATAIZINHO,2910
VALENTIM GENTIL,2910
PATROCINIO PAULISTA,2909
ASSUNCAO DO PIAUI,2907
JOANOPOLIS,2907
RIBEIRAO CASCALHEIRA,2906
NAZAREZINHO,2905
DORES DO INDAIA,2901
VARZEA DO POCO,2900
ITAMARI,2899
RUBIM,2896
BARBOSA FERRAZ,2895
TEIXEIRAS,2894
TARUMA,2894
PEDRA BONITA,2889
PORTO ALEGRE DO NORTE,2887
AMAJARI,2887
BALNEARIO BARRA DO SUL,2886
MALHADA DE PEDRAS,2885
MARAJA DO SENA,2881
SANTANA DO SAO FRANCISCO,2880
MORRO DA FUMACA,2878
SANTA BARBARA DO LESTE,2874
NATUBA,2871
JUNDIA,2869
PORTO MURTINHO,2868
ITANHANDU,2866
APERIBE,2865
MARILANDIA,2858
AFONSO CUNHA,2856
NOVA CANAA DO NORTE,2852
ITAQUARA,2852
GUIA LOPES DA LAGUNA,2849
CAMUTANGA,2849
TARRAFAS,2847
APUAREMA,2846
BRASILEIRA,2846
POMERODE,2845
JORDANIA,2843
PALESTINA DO PARA,2842
FRANCISCO SANTOS,2838
ITAU DE MINAS,2837
JORDAO,2834
BOM JARDIM DE GOIAS,2834
AREADO,2824
MACURURE,2823
BALSA NOVA,2820
COLUNA,2820
BELAGUA,2820
CONGONHAL,2819
SANTA JULIANA,2819
VERDEJANTE,2819
SERRA DO SALITRE,2818
IBIRUBA,2816
BARRA DE SANTANA,2815
QUERENCIA DO NORTE,2814
NAZARE DO PIAUI,2814
ALAGOINHA DO PIAUI,2814
CARMO DE MINAS,2813
SAO FRANCISCO DO BREJAO,2811
MOSTARDAS,2810
JAPI,2809
BOA ESPERANCA DO SUL,2808
GENERAL SAMPAIO,2804
CAPINZAL,2801
HERVAL D'OESTE,2799
BELEM DO BREJO DO CRUZ,2797
ALTO RIO NOVO,2797
GOVERNADOR LINDENBERG,2794
MURICI DOS PORTELAS,2791
IGARATA,2789
RIALMA,2788
NOVA PRATA,2783
VIRGINOPOLIS,2782
JAPORA,2781
PEDRO DE TOLEDO,2778
PORTO ESPERIDIAO,2777
PIRAPETINGA,2772
ABEL FIGUEIREDO,2772
IMBE DE MINAS,2770
CAVALCANTE,2770
MARTINS SOARES,2767
QUEIMADA NOVA,2767
CORONEL MURTA,2766
IPUA,2760
SIRIRI,2754
CUITE DE MAMANGUAPE,2753
MINEIROS DO TIETE,2752
GOVERNADOR JORGE TEIXEIRA,2751
IBIRACU,2750
ORIZANIA,2747
BUENO BRANDAO,2747
EUGENOPOLIS,2746
COLONIA DO PIAUI,2746
ALTO PARAISO DE GOIAS,2745
ALTANEIRA,2744
CASSERENGUE,2743
ANGICAL DO PIAUI,2743
NOVA REDENCAO,2742
RONCADOR,2741
PEDRALVA,2741
MILAGRES DO MARANHAO,2739
ITAUBAL,2737
SENADOR SA,2737
ENGENHEIRO BELTRAO,2732
CRUZETA,2732
SAO SEBASTIAO DO ANTA,2731
MADEIRO,2729
IRETAMA,2729
ITATIAIUCU,2728
MACATUBA,2727
IBIRAJUBA,2724
PADRE MARCOS,2723
ANTONIO JOAO,2723
SAO JOAO DO ORIENTE,2722
ITAGUARA,2722
NOVA AURORA,2722
CORUMBA DE GOIAS,2721
CURRAL DE DENTRO,2717
LAJEADO NOVO,2716
DURANDE,2715
GUARANIACU,2715
MERCES,2715
RIACHO DOS MACHADOS,2714
MORUNGABA,2714
ITARANA,2714
LIVRAMENTO,2712
MATELANDIA,2712
BELO MONTE,2711
IPAUSSU,2709
MARILUZ,2708
SANTO AUGUSTO,2708
SAO BENTO DO SAPUCAI,2707
MARACAI,2703
ACAUA,2701
MACAMBIRA,2700
SAO DOMINGOS DO AZEITAO,2700
CORDEIROS,2698
AURIFLAMA,2694
BONFINOPOLIS,2691
MATIAS CARDOSO,2691
ELISIO MEDRADO,2688
NOVA PONTE,2687
CACIMBAS,2686
TRES BARRAS DO PARANA,2686
PLANALTINO,2686
PARAUNA,2686
BETANIA DO PIAUI,2684
VIRGINIA,2683
CABO VERDE,2682
ANTONIO MARTINS,2680
AGUDOS DO SUL,2680
CAJUEIRO DA PRAIA,2677
CARDOSO,2677
SAO MAMEDE,2674
SALTO DO JACUI,2672
MALLET,2672
GUAPORE,2672
TEIXEIRA SOARES,2670
GUAREI,2668
TASSO FRAGOSO,2667
GOUVEIA,2663
UMARI,2662
MAETINGA,2662
GUIRATINGA,2661
IPUIUNA,2660
SERICITA,2656
ILHOTA,2652
OURO VERDE DE MINAS,2647
VILA PAVAO,2646
TRAJANO DE MORAIS,2646
FERROS,2644
CHAVANTES,2641
BARRA DO RIBEIRO,2640
SAO MIGUEL DE TAIPU,2639
DIRCEU ARCOVERDE,2638
GRACHO CARDOSO,2634
SAO JOSE DOS BASILIOS,2633
COMERCINHO,2631
ALTO GARCAS,2631
MONTIVIDIU,2630
SETE QUEDAS,2629
CONCEICAO DA APARECIDA,2629
PEIXE,2626
SANTA MARIANA,2625
PERDIGAO,2620
SAO ROQUE DO CANAA,2619
URUPES,2615
FONTOURA XAVIER,2614
SAO ROMAO,2613
COCAL DOS ALVES,2611
OTACILIO COSTA,2610
VARZEA,2610
AMAPA DO MARANHAO,2600
BATAYPORA,2600
SANTO ANTONIO DO RETIRO,2599
RIO NOVO DO SUL,2593
CARLINDA,2590
MIRADOURO,2586
ANGELANDIA,2583
TERRA NOVA DO NORTE,2582
CERRO GRANDE DO SUL,2582
GOVERNADOR LUIZ ROCHA,2580
BREJO GRANDE DO ARAGUAIA,2579
LEBON REGIS,2578
COLONIA DO GURGUEIA,2576
BRASILANDIA,2574
PEDRAO,2573
DIVINOLANDIA DE MINAS,2573
SANTA ADELIA,2573
AREIAL,2573
VALE DO ANARI,2572
DIVINOLANDIA,2568
CARMO DA CACHOEIRA,2568
SENADOR ELOI DE SOUZA,2564
COLMEIA,2563
JUSSIAPE,2563
IRINEOPOLIS,2561
ACUCENA,2560
URUSSANGA,2555
CRISTALANDIA DO PIAUI,2554
LUIS ANTONIO,2553
JATI,2549
PAULO JACINTO,2548
MURIBECA,2547
URAI,2547
MIRAI,2546
ITANAGRA,2545
NONOAI,2541
GONGOGI,2541
PRUDENTE DE MORAIS,2540
CALUMBI,2540
TEREZINHA,2539
SAO JOSE DA VITORIA,2539
SANTA TEREZA DO OESTE,2536
ASTOLFO DUTRA,2536
REDENTORA,2534
OURO VERDE,2532
RIO GRANDE DO PIAUI,2530
THEOBROMA,2530
MARTINS,2527
NOVA GLORIA,2527
GUAJERU,2527
ITAPUA DO OESTE,2526
JUSCIMEIRA,2524
SANTO ANTONIO DAS MISSOES,2524
SERRA AZUL,2524
BOM PRINCIPIO DO PIAUI,2523
NOVA CAMPINA,2522
FELIZ NATAL,2522
SAO JOAO DA SERRA,2520
RESENDE COSTA,2520
TAPURAH,2520
PORTO RICO DO MARANHAO,2519
SALTO DO LONTRA,2519
SAO BRAS,2517
VERANOPOLIS,2517
SAO JOSE DA LAGOA TAPADA,2516
JEQUITAI,2514
JERICO,2511
BABACULANDIA,2509
PIRATININGA,2499
RIBAMAR FIQUENE,2499
TENENTE PORTELA,2498
ITAICABA,2497
LAGOA D'ANTA,2496
HORIZONTINA,2495
ESPUMOSO,2495
IBIRA,2489
PORTALEGRE,2486
ALVORADA DO NORTE,2483
ARROIO DO SAL,2482
JAGUAPITA,2482
BANANAL,2481
OLHO D'AGUA,2481
ANGELICA,2481
PETROLINA DE GOIAS,2480
SAO JOAO DA PONTA,2478
RIBEIRAO CLARO,2474
BOM JESUS DO NORTE,2474
BARRO DURO,2474
PORECATU,2473
PALMOPOLIS,2473
CAMALAU,2468
SAO MARCOS,2465
BOQUEIRAO DO PIAUI,2465
SAO FELIX DO ARAGUAIA,2464
ITAPITANGA,2464
IBIAI,2461
PINDORAMA,2460
BUENOPOLIS,2460
BARROS CASSAL,2459
TAPIRAI,2458
QUATA,2456
SAO JOAO DO IVAI,2456
PIRAUBA,2455
PEROLA,2454
ITIQUIRA,2453
ARAL MOREIRA,2450
JUNCO DO SERIDO,2446
CAMPO LIMPO DE GOIAS,2445
SAO GONCALO DO RIO ABAIXO,2443
ROSEIRA,2442
CLAUDIA,2442
ROTEIRO,2441
MAMBAI,2438
DIAMANTE,2438
NOVA LONDRINA,2437
CONEGO MARINHO,2437
SAO JOSE DO PIAUI,2437
FIRMINOPOLIS,2434
CUITEGI,2433
IMARUI,2433
DUARTINA,2432
SAO TIAGO,2429
MACHACALIS,2428
CAMPOS LINDOS,2426
CAETANOPOLIS,2425
SAO DOMINGOS DO NORTE,2421
PARAPUA,2420
DOM EXPEDITO LOPES,2418
TAMARANA,2417
TERRA DE AREIA,2412
LUISBURGO,2410
SAO FRANCISCO DE ASSIS DO PIAUI,2409
SANTA FILOMENA DO MARANHAO,2407
ATILIO VIVACQUA,2406
MAURILANDIA,2405
CRISTINA,2404
EUCLIDES DA CUNHA PAULISTA,2403
GRACA ARANHA,2403
CLARO DOS POCOES,2402
PIEN,2402
MORRO DO CHAPEU DO PIAUI,2400
ITIRAPINA,2400
CONCEICAO DOS OUROS,2398
MATUREIA,2396
MAUA DA SERRA,2395
MILTON BRANDAO,2394
PINTOPOLIS,2393
PASSO DE TORRES,2389
CENTENARIO DO SUL,2388
AVANHANDAVA,2386
ALTO PIQUIRI,2386
PEDRA LAVRADA,2385
TAIO,2383
ITAMOGI,2381
PAVAO,2380
NOVO HORIZONTE DO OESTE,2380
FEIRA DA MATA,2375
VARGEM,2374
VEREDA,2373
ARAPONGA,2373
IBIRACI,2372
ITAGIMIRIM,2369
BURITI DO TOCANTINS,2368
JAURU,2366
POUSO REDONDO,2363
FELISBURGO,2362
ALMAS,2361
DOUTOR SEVERIANO,2360
FELIPE GUERRA,2359
BOFETE,2359
TAPIRATIBA,2359
CARMO DA MATA,2357
ARENAPOLIS,2357
NOSSA SENHORA DE LOURDES,2356
APIACA,2352
MAR DE ESPANHA,2352
CHALE,2347
PONTO BELO,2346
CARBONITA,2345
MARIZOPOLIS,2341
SANTANA DOS GARROTES,2340
JURUAIA,2337
FERREIRA GOMES,2336
CHA PRETA,2335
MASSAPE DO PIAUI,2334
JACOBINA DO PIAUI,2333
SEVERIANO MELO,2329
PARANACITY,2324
CACHOEIRA DE MINAS,2323
INDAIABIRA,2323
CRISTAIS,2322
LUISLANDIA,2321
CANDIOTA,2320
VERDELANDIA,2315
BURITI ALEGRE,2312
JANGADA,2312
GETULIO VARGAS,2312
SAO SEBASTIAO DO ALTO,2311
ITAPIRAPUA,2310
TAPIRA,2307
TUPI PAULISTA,2307
IACANGA,2306
SAO JOAO DA BALIZA,2305
BARAO DE MELGACO,2304
TABAPUA,2303
SAO JULIAO,2301
IRAJUBA,2297
PANTANO GRANDE,2296
ITAPAGIPE,2296
SANTA HELENA DE MINAS,2295
GEMINIANO,2293
TAGUAI,2293
CARAUBAS DO PIAUI,2293
GLORIA DE DOURADOS,2293
VENTANIA,2292
ARNEIROZ,2289
SANTA FE,2289
CURRAL DE CIMA,2288
JURUENA,2287
NOVO ORIENTE DO PIAUI,2285
CANELINHA,2284
BONFIM DO PIAUI,2283
ITACAJA,2283
SANTA LUZIA DO NORTE,2282
SERRA REDONDA,2281
PLANURA,2280
SAO JOAO DO JAGUARIBE,2280
CACHOEIRA ALTA,2280
SAO RAIMUNDO DO DOCA BEZERRA,2280
PACUJA,2280
CONGONHINHAS,2277
BARRO PRETO,2275
BALDIM,2274
PAULA CANDIDO,2274
CRISTALIA,2272
