,NOME MUNICÍPIO
POCO REDONDO,11719
CANGUCU,11700
HIDROLANDIA,11694
CANAVIEIRAS,11656
TRACUATEUA,11650
SIRINHAEM,11647
BARRA DE SAO FRANCISCO,11640
CICERO DANTAS,11630
CARINHANHA,11615
PONTE NOVA,11595
ITARARE,11594
PORTEIRINHA,11569
PARAIPABA,11568
IRARA,11548
SANTANA DO ACARAU,11542
BENJAMIN CONSTANT,11540
ITAPIRA,11536
ITAPEMIRIM,11514
GOIAS,11512
MONTEIRO,11506
SAO JOSE DA TAPERA,11472
MORRO DO CHAPEU,11472
RIACHAO DO JACUIPE,11469
CRUZ ALTA,11467
SALINAS,11458
ROLANDIA,11456
JAIBA,11451
CONCORDIA DO PARA,11424
SAO DOMINGOS,11416
PONTES E LACERDA,11407
CARAUARI,11405
PORANGATU,11391
VITORINO FREIRE,11385
LIMOEIRO DO AJURU,11370
MUANA,11370
AQUIDAUANA,11315
FEIJO,11314
RUY BARBOSA,11300
VINHEDO,11238
SERTANIA,11217
MAIRINQUE,11212
VARGEM GRANDE PAULISTA,11205
PEDREIRAS,11203
JOAO PINHEIRO,11202
PIRANHAS,11192
COSMOPOLIS,11160
BORBA,11156
BOCA DO ACRE,11153
SAO DOMINGOS DO CAPIM,11152
LAGOA DA PRATA,11148
PORTO DA FOLHA,11147
IPORA,11142
CANINDE DE SAO FRANCISCO,11135
MUCURI,11129
LAJEADO,11082
PENALVA,11082
BATATAIS,11080
POJUCA,11078
OURILANDIA DO NORTE,11054
NOVA OLINDA,11028
URBANO SANTOS,11022
ESPERANCA,11005
INDEPENDENCIA,10996
CAPELINHA,10995
VITORIA DO MEARIM,10994
MIRASSOL,10982
IBITINGA,10979
TUPA,10969
CAMPOS DO JORDAO,10953
IPUBI,10946
PIRACURUCA,10944
BUJARU,10938
COCAL,10936
NAVIRAI,10921
SANTA RITA DE CASSIA,10915
CANGUARETAMA,10911
JAGUARIBE,10909
GARRAFAO DO NORTE,10900
NOVO ORIENTE,10892
PENAPOLIS,10866
AMPARO,10862
BELA CRUZ,10852
TRES PONTAS,10851
CACADOR,10845
EIRUNEPE,10829
ITUPEVA,10806
SANTO ANTONIO DO TAUA,10803
